name,param,accuracy,depth,cnots,K_train,K_test,seed
Uniform,1,0.7,9,7,,,0
Uniform,2,0.68,17,14,,,0
Uniform,3,0.7,25,21,,,0
Reupload,1,0.74,8,7,,,0
Reupload,2,0.74,16,14,,,0
Reupload,3,0.72,24,21,,,0
AHQE,adaptive,0.76,14,10,,,0
Uniform,1,0.86,9,7,,,1
Uniform,2,0.88,17,14,,,1
Uniform,3,0.86,25,21,,,1
Reupload,1,0.8,8,7,,,1
Reupload,2,0.82,16,14,,,1
Reupload,3,0.84,24,21,,,1
AHQE,adaptive,0.84,11,10,,,1
Uniform,1,0.76,9,7,,,2
Uniform,2,0.7,17,14,,,2
Uniform,3,0.72,25,21,,,2
Reupload,1,0.8,8,7,,,2
Reupload,2,0.76,16,14,,,2
Reupload,3,0.74,24,21,,,2
AHQE,adaptive,0.76,12,10,,,2
Uniform,1,0.82,9,7,,,3
Uniform,2,0.8,17,14,,,3
Uniform,3,0.8,25,21,,,3
Reupload,1,0.8,8,7,,,3
Reupload,2,0.82,16,14,,,3
Reupload,3,0.82,24,21,,,3
AHQE,adaptive,0.84,11,10,,,3
Uniform,1,0.78,9,7,,,4
Uniform,2,0.84,17,14,,,4
Uniform,3,0.86,25,21,,,4
Reupload,1,0.84,8,7,,,4
Reupload,2,0.76,16,14,,,4
Reupload,3,0.8,24,21,,,4
AHQE,adaptive,0.8,10,10,,,4
